Comment,Description,Designator,Footprint,LibRef,Quantity,Unit Price ,Total ,
OSTYK42102030,"2 Circuit 0.325 _8.26mm_ Barrier Block Connector, Screws with Captive Plate",1,OSTYK42102030,OSTYK42102030,1, $0.68700 , $0.68700 ,
EEUFC2A471,Aluminum Electrolytic Capacitors (Radial Lead Type) AEC-Q200 Qualified 470uF ±20% 100V,"C1, C4",FP-RAD-TH-D_16_0_5-L_40_2-MFG,CMP-05427-000270-1,2, $1.22800 , $2.45600 ,
0805B153K101NT,100V 15nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C2,CAPC2013X94X50NL20T25,CMP-2007-04180-1,1, $0.01480 , $0.01480 ,
GRM21BR71E154KA01L,25V 150nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C3,CAPC2013X140X50LL20T25,CMP-1036-04480-3,1, $0.03060 , $0.03060 ,
CL10B104KC8NNNC,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 0.10uF, X7R, 15%, 10%, 100V",C5,FP-GRM188-0_1-e0_2_0_5-IPC_A,CMP-2006-02945-2,1, $0.00620 , $0.00620 ,
CL32B475KBJNNNE,CAP CER 4.7UF 50V X7R 1210,C6,FP-C1210X475K5RACTU-MFG,CMP-2000-06022-2,1, $0.00230 , $0.00230 ,
CL10B104KB8NNNC,"Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","C7, C12",CAPC1608X90X35ML10T15,CMP-2100-03643-1,2, $0.13080 , $0.26160 ,
CL32A226KOJNNNE,"General Purpose Ceramic Capacitor, 1210, 22uF, 10%, X5R, 15%, 16V","C8, C9",FP-1210-L_3_3_0_4-W_2_5_0-MFG,CMP-2000-05483-2,2, $0.06290 , $0.12580 ,
CL21B105KOFNNNE,"1uF, 16V, 0805",C10,CAPC2013X145X50LL20T25,CMP-1036-04746-2,1, $0.00870 , $0.00870 ,
293D334X9035A2TE3,330nF 35V  ±10% 15? 1206  SMD Tantalum Capacitor,C11,FP-TAJS-MFG,CMP-04424-000233-1,1, $0.13320 , $0.13320 ,
CC0402KRX7R7BB104,CAP CER 0.1UF 16V X7R 0402,"C13, C14, C15",FP-CC0402-MFG,CMP-03422-000048-1,3, $0.00090 , $0.00270 ,
GRM188R60J106ME47D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V",C16,FP-GRM188-0_1-e0_2_0_55-IPC_A,CMP-2006-02792-2,1, $0.00910 , $0.00910 ,
EEEFK1J470P,CAP ALUM 47UF 20% 63V SMD,"C17, C21, C23, C28",FP-FKF-MFG,CMP-2000-06210-2,4, $0.18390 , $0.73560 ,
HMK325C7475KM-PE,Cap Ceramic 4.7uF 100V X7S 10% Pad SMD 1210 +125°C Automotive T/R,"C18, C19, C25, C27",FP-CGA6P-IPC_C,CMP-2000-07583-2,4, $0.15140 , $0.60560 ,
CL21A106KAYNNNE,Cap Ceramic 10uF 25V X7S 10% Pad SMD 0805 +125°C Automotive T/R,C20,FP-CGA4J-IPC_A,CMP-08246-000381-1,1, $0.01310 , $0.01310 ,
CL10B104KC8NNNC,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 0.10uF, X7R, 15%, 10%, 100V",C22,FP-GRM188-0_1-e0_2_0_5-IPC_B,CMP-1035-02595-8,1, $0.00620 , $0.00620 ,
CL10A105KO8NNNC,CAP CER 0603 1UF 16V X7R 10%,"C24, C29",FP-C0603C-CJ-MFG,CMP-03020-014193-1,2, $0.00280 , $0.00560 ,
TCC0603X7R104J101CT,"0.1uF, 100V, 0603, 5%",C26,CAPC1608X92X38NL15T08,CMP-2006-01966-1,1, $0.00530 , $0.00530 ,
CL05B104KO5NNNC,Ceramic Capacitor for Automotive 100nF ±10% 16VDC X7R 0402 Paper T/R,C30,FP-GCM155-0_05-IPC_A,CMP-2008-03712-2,1, $0.00100 , $0.00100 ,
GRM155R71H472KA01D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4700pF, X7R, 15%, 10%, 50V","C31, C34",FP-GRM155-0_05-IPC_B,CMP-2008-04663-5,2, $0.00270 , $0.00540 ,
CL10A225KP8NNNC,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 2.2uF, X7R, 15%, 10%, 10V",C32,FP-GRM188-0_1-e0_2_0_5-IPC_A,CMP-2006-02837-2,1, $0.00500 , $0.00500 ,
0402CG101J500NT,CAP CER 100PF 50V C0G/NP0 0402,C33,FP-C0402-BB-MFG,CMP-2008-03284-2,1, $0.00090 , $0.00090 ,
CL31B105KCHNNNE,Cap Ceramic 1uF 100V X7R 10% Pad SMD 1206 Soft Termination  +125°C Automotive T/R,C36,FP-GCJ31C-0_3-IPC_A,CMP-06035-000760-1,1, $0.02340 , $0.02340 ,
CL10B103KB8NNNC,Cap Ceramic 10000pF 50V X7R 10% Pad SMD 0603 Soft Termination +125°C Automotive T/R,C37,FP-GCJ188-0_2-IPC_A,CMP-2006-02222-2,1, $0.02340 , $0.02340 ,
C0603C220J3RACAUTO,CAP CER 22PF 25V 10% NP0 0603,C38,FP-C0603C-CF-MFG,CMP-2006-03121-2,1, $0.01100 , $0.01100 ,
CC0603JRNPO8BN681,CAP CER 680PF 25V 5% NP0 0603,C39,FP-C0603C-CF-MFG,CMP-2006-03255-2,1, $0.00380 , $0.00380 ,
1N4007FL,"Rectifier, 1Kv, 1A, Do-214Ac Rohs Compliant: Yes","D1, D2, D3",FP-1N4007_SMD-IPC_C,CMP-12389-000001-1,3, $0.02040 , $0.06120 ,
SBR0560S1Q-7,"500mV, 60V, 500mA","D4, D5",SOD-123,Schottky-Diode,2, $0.19800 , $0.39600 ,
APT1608MGC,LED GREEN CLEAR CHIP SMD,D6,FP-APT1608MGC-MFG,CMP-44529-000027-1,1, $0.37500 , $0.37500 ,
APTD1608SURCK,LED RED CLEAR CHIP SMD,D7,FP-APTD1608SURCK-MFG,CMP-44529-000034-1,1, $0.15670 , $0.15670 ,
MMSZ4691,"500mW, Surface Mount Zener Diode",D8,DIO_MMSZ4691_RHG,MMSZ4691_RHG,1, $0.03890 , $0.03890 ,
B360A-13-F,DIODE SCHOTTKY 60V 3A SMA,"D9, D10",FP-SMA-MFG,CMP-2000-05898-2,2, $0.03180 , $0.06360 ,
BZX84C15-7-F,DIODE ZENER 15V 300MW SOT23-3,D11,FP-SOT23-MFG,CMP-12792-000009-1,1, $0.02420 , $0.02420 ,
BM03B-SRSS-TB,Debug Probe ,J1,CONN_BM03B-SRSS-TBLFSN_JST,BM03B-SRSS-TBLFSN,1, $0.47000 , $0.47000 ,
OSTYK42103030,"3 Circuit 0.325 (8.26mm) Barrier Block Connector, Screws with Captive Plate","J2, J3",OSTYK42103030,CMP-002-00251-1,2, $0.37560 , $1.50240 ,
TB001-500-02BE,"2~24 Poles, Screw Type, Horizontal, 5.0 Pitch, 22~12 (AWG), Terminal Block Connector","J4, J6, J7, J11",CUI_TB001-500-02BE,TB001-500-02BE,4, $0.33230 , $0.33230 ,
54602-908LF,No Description Available,J5,CONN8_2-908LF_AMP,54602-908LF,1, $0.50700 , $0.50700 ,
DM3D-SF,CONN MICRO SD CARD PUSH-PULL,J8,FP-DM3D-SF-MFG,CMP-2000-06166-2,1, $1.52850 , $1.52850 ,
M20-9990245,CONN HEADER VERT 2POS 2.54MM,"J9, J14",FP-M20-9990245-MFG,CMP-15831-000105-1,2, $0.07200 , $0.14400 ,
PPTC041LFBN-RC,No Description Available,J10,CONN_PPTC041LFBN-RC_SUL,PPTC041LFBN-RC,1, $1.06650 , $1.06650 ,
B3B-XH-A(LF)(SN),CONN HEADER VERT 3POS 2.5MM,J12,FP-B3B-XH-A_LF_SN-MFG,CMP-17439-000014-3,1, $0.01790 , $0.01790 ,
22-28-4033,"Male Header, Pitch 2.54 mm, 1 x 3 Position, Height 8.38 mm, Tail Length 3.18 mm, RoHS, Bulk",J13,MOLX-22-28-4033_V,CMP-1676-00001-5,1, $0.19160 , $0.19160 ,
61300411121,"Male Header, 1x4 Position",JP1,61300411121,CMP-1502-01064-3,1, $0.23790 , $0.23790 ,
61300311121,"Male Header, 1x3 Position",JP2,61300311121,CMP-1502-01062-3,1, $0.19580 , $0.19580 ,
2300HT-121-V-RC,120uH 2300HT-121-V-RC,L1,IND_2300HT-V_56_42,2300HT-121-V-RC,1, $3.40200 , $3.40200 ,
XAL1510-223MED,Fixed Inductors 22uH Shld 20% 14A 16mOhms AECQ2,L2,FP-XAL1510-223MEB-MFG,CMP-11268-000144-1,1, $7.06800 , $7.06800 ,
1921B,"1921B Standoff, 1/4 Hex, Female, Threaded 4-40, Length .500, Stainless Steel","MP1, MP2, MP3, MP4",FP-1921B-MFG,CMP-00214-00374361-1,4, $2.26950 , $9.07800 ,
61300211121,"Wurth Elektronik 2.54mmSpacing2pSingle row pin header Board-to-board connector, WR-PHDSeries, Straight, Through-hole mounting","P1, P2",61300211121,CMP-1712-00002-6,2, $0.09470 , $0.18940 ,
PINA740BIREMR,Current & Power Monitors & Regulators 85-V 16-bit IC-output digital power monitor with 800-uohm EZShunt Technology 14-VQFN -40 to 125 ,"PINA1, PINA2, PINA3",VQFN14_REM_TEX,PINA740BIREMR,3, $11.65950 , $34.98 ,
IPB032N10N5ATMA1,MOSFET N-CH 100V 166A TO263-7,"Q1, Q2",FP-PG-TO263-7-MFG,CMP-32901-001276-1,2, $6.74700 , $13.49 ,
NTMFD5C674NLT1G,"NTMFD5C674NLT1G Power MOSFET, Dual N-Channel, 60V, 42A, 14.4 m?","Q3, Q4",FP-506BT-MFG,CMP-00278-87920666-1,2, $1.05750 , $2.11500 ,
SI7461DP-T1-E3,MOSFET P-CH 60V 8.6A PPAK SO-8,Q7,FP-S17-0173-SINGLE-MFG,CMP-02550-000014-1,1, $1.26400 , $1.26400 ,
0R3J,Jumper 0603 (1608 Metric),"R1, R2, R3, R6, R7, R8, R9, R16",RESC0603(1608)_L,CMP-009-00063-2,8, $0.01880 , $0.15040 ,
CRCW06034K70FKEA,"RES Thick Film, 4.7k?, 1%, 0.1W, 100ppm/°C, 0603","R4, R5",FP-CRCW0603-e3-IPC_A,CMP-1666-00019-3,2, $0.00340 , $0.00680 ,
0603WAF4022T5E,"RES Thick Film, 40.2k?, 1%, 0.1W, 100ppm/°C, 0603",R10,FP-CRCW0603-e3-IPC_B,CMP-2000-03336-2,1, $0.30570 , $0.30570 ,
RK73H1JTTD1000F,RES SMD 100 OHM 1% 1/8W 0603,R11,FP-MCT0603-IPC_C,CMP-02407-000418-1,1, $0.00020 , $0.00020 ,
RC0402FR-071KL,RES 1K OHM 1% 1/16W 0402,"R12, R13, R14",FP-RC0402-0_4-IPC_A,CMP-2002-07472-3,3, $0.00050 , $0.00150 ,
PRL1632-R008-F-T1,"8 mOhms ±1% 1W Chip Resistor Wide 0612 (1632 Metric), Current Sense Thin Film","R15, R42",FP-PRL1632-MFG,CMP-2003-04761-2,2, $0.85500 , $1.71000 ,
RC0603FR-0710KL,"Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",R17,RESC1609X50X30NL8T20,CMP-1666-00005-4,1, $0.00100 , $0.00100 ,
RC0805FR-075R1L,125mW Thick Film Resistors 150V ±5% ±200ppm/? 5.1? 0805  Chip Resistor - Surface Mount ROHS,R18,RESC2013X50X30LL20T20,CMP-2001-04034-1,1, $0.00620 , $0.00620 ,
AECR0402F2K00K9,"RES Thick Film, 2k?, 1%, 0.063W, 100ppm/°C, 0402","R19, R20",FP-CRCW0402-e3-IPC_A,CMP-2002-08446-2,2, $0.30570 , $0.61140 ,
0805W8F0000T5E,0805 0 Ohm,"R21, R30",RESC2013X50X30LL20T20,CMP-2001-04896-1,2, $0.00160 , $0.00320 ,
0402WGF200JTCE,RES SMD 20 OHM 1% 1/16W 0402,"R22, R24, R32, R38, R46",FP-CRCW0402-C-e3-MFG,CMP-02407-000003-1,5, $0.03650 , $0.18250 ,
0603WAJ0000T5E,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R23, R35, R39, R41, R53, R55, R59",RESC1608X55X25ML10T15,CMP-2100-03667-1,7, $0.00090 , $0.00630 ,
CRCW0402215KFKTD,"RES Thick Film, 215k?, 1%, 0.063W, 100ppm/°C, 0402",R25,FP-CRCW0402-e3-MFG,CMP-2002-08364-2,1, $0.00650 , $0.00650 ,
C9900056336,RES SMD 0 OHM JUMPER 1/16W 0402,R26,FP-RC0402-0_4-MFG,CMP-03412-037830-1,1, $0.01880 , $0.01880 ,
WSL251200000ZEA9,RES 0 OHM JUMPER 2512,R27,FP-WSL2512-MFG,CMP-02407-013091-1,1, $0.96000 , $0.96000 ,
RTT025112FTH,RES SMD 51.1K OHM 1% 1/16W 0402,R28,FP-RC_L0402-MFG,CMP-2002-07730-2,1, $0.03650 , $0.03650 ,
RC0402FR-07100KL,63mW Thick Film Resistors ±100ppm/? ±1% 100k? 0402 Chip Resistor - Surface Mount ROHS,R29,RESC1005X40X25NL10T10,CMP-2002-04696-1,1, $0.00050 , $0.00050 ,
0603WAF200JT5E,RES 20? 1.00% 0.1W 0603,"R31, R33",FP-AC0603-MFG,CMP-03412-035160-2,2, $0.00100 , $0.00200 ,
AC0603FR-07115KL,Res Thick Film 0603 115k? 1% 0.1W ±100ppm/°C Molded SMD T/R,R34,FP-RC1608-IPC_A,CMP-13261-004611-1,1, $0.00200 , $0.00200 ,
CR0402J0R00Q10Z,"RES Thick Film, 0?, 0.063W, 0402","R36, R52",FP-CRCW0402-e3-IPC_C,CMP-2002-08122-2,2, $0.00080 , $0.00160 ,
0603WAF2263T5E,"RES Thick Film, 226k?, 1%, 0.1W, 100ppm/°C, 0603",R37,FP-CRCW0603-e3-IPC_C,CMP-1012-00774-3,1, $0.00130 , $0.00130 ,
ERA3AEB114V,"0603, 110k ohms, .1% .1W",R40,RESC1608X55X30NL20T20,CMP-2000-00886-1,1, $0.07920 , $0.07920 ,
0603WAF2492T5E,"RES Thick Film, 24.9k?, 1%, 0.1W, 100ppm/°C, 0603","R43, R44, R45",FP-CRCW0603-e3-IPC_B,CMP-2000-03121-2,3, $0.00100 , $0.00300 ,
FMF06FTHR015-LH,"15 mOhms ±1% 1W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200, Current Sense Thick Film",R47,RESC3216X70X50NL05T20,CMP-2003-00767-1,1, $0.04260 , $0.04260 ,
RT0402BRD07100RL,RES SMD 100 OHM 0.1% 1/16W 0402,"R48, R50",FP-RT0402-0_35-IPC_C,CMP-2002-02912-3,2, $0.01880 , $0.03760 ,
C9900153267,RES 100K OHM 1/16W 1% SMD 0402,R49,FP-RT0402-MFG,CMP-2002-02553-2,1, $0.03650 , $0.03650 ,
0603WAF5622T5E,Thick Film Chip Resistors 0603 56.2k? 0.1W 1% 100ppm/°C,R54,FP-CR0603-IPC_C,CMP-07231-000535-1,1, $0.00110 , $0.00110 ,
RCT0347K5FLF,47.5k? ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant,"R56, R57, R58",FP-RMCF0603-IPC_C,CMP-26527-006032-1,3, $0.03650 , $0.10950 ,
ERJ2GE0R00X,"Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel",R60,RESC1005X40X25LL05T05,CMP-2000-07451-1,1, $0.00410 , $0.00410 ,
ERJ-U06F1R00V,"RES Thick Film, 1?, 1%, 0.125W, 100ppm/°C, 0805",R61,FP-CRCW0805-e3-IPC_A,CMP-2001-03649-2,1, $0.30570 , $0.30570 ,
PTS645SM43SMTR92 LFS,SWITCH TACTILE SPST-NO 0.05A 12V,"SW1, SW2, SW3, SW4",FP-PTS645SM43SMTR92LFS-MFG,CMP-2000-05160-2,4, $0.39210 , $1.56840 ,
5010,"Test Point, Red, Through Hole, RoHS, Bulk","TP1, TP3",KSTN-5010_V,CMP-1672-00002-4,2, $1.30000 , $2.60000 ,
5011,"Test Point, Black, Through Hole, RoHS, Bulk","TP2, TP4",KSTN-5011_V,CMP-1672-00003-4,2, $0.00020 , $0.00040 ,
LM5106MM/NOPB,"100V Half-Bridge Gate Driver with Programmable Dead-Time, 10-pin MSOP, Pb-Free",U1,DGS0010A_N,CMP-0063-01354-3,1, $0.54000 , $0.54000 ,
SC0915,RP2040 Raspberry Pi Pico - ARM® Cortex®-M0+ MCU 32-Bit Embedded Evaluation Board,U2,MODULE_SC0915,SC0915,1, $0.04000 , $0.04000 ,
LTC4020EUHF,"IC,55V BUCK-BOOST BATTERY CHARGER,38-pin QFN",U3,FP-UHF-38-05-08-1701-IPC_A,LTC4020EUHF,1, $9.03000 , $9.03000 ,
TLVM23625RDNR,Non-Isolated PoL Module DC DC Converter 1 Output 1 ~ 6V 2.5A 3V - 36V Input,U4,RDN0011A-MFG,TLVM23625RDNR,1, $2.54000 , $2.54000 ,
L7812ACV,"Positive Voltage Regulator, 12V, 3-Pin TO-220",U5,TO220,CMP-0244-00451-1,1, $0.36000 , $0.36000 ,
696108003002,FUSEHOLDER BLOCKS - PCB - CLIP C,"XF1, XF2",696108003002,CMP-1502-00237-2,2, $0.04000 , $0.08000 ,
,,,,,,PCB Cost, $8.95 ,
,,,,,,Total, $114.43 ,
