Altium Designer Pick and Place Locations
C:\Users\temp\Documents\WPI\MQP\Github\MPPT_MQP_PCB\MQP_PCB\Project Outputs for MQP_PCB\Pick Place\Pick Place for PCB_Main.txt

========================================================================================================================
File Design Information:

Date:       12/12/24
Time:       09:41
Revision:   e53bc41a62f20c2cb0d3d20e79cf4b2b109bf4cd
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                   
P2         61300211121        BottomLayer 61300211121                   2285.000      3665.000      180      ""                                                                                                            
R42        PRL1632-R008-F-T1  BottomLayer FP-PRL1632-MFG                2398.520      1114.000      0        "8 mOhms ±1% 1W Chip Resistor Wide 0612 (1632 Metric), Current Sense Thin Film"                               
R15        PRL1632-R008-F-T1  BottomLayer FP-PRL1632-MFG                2410.000      830.000       0        "8 mOhms ±1% 1W Chip Resistor Wide 0612 (1632 Metric), Current Sense Thin Film"                               
R38        20                 TopLayer    FP-CRCW0402-C-e3-MFG          3015.000      2805.000      270      "RES SMD 20 OHM 1% 1/16W 0402"                                                                                
P1         61300211121        BottomLayer 61300211121                   2285.000      3550.000      0        ""                                                                                                            
JP2        61300311121        BottomLayer 61300311121                   2015.000      3555.000      180      ""                                                                                                            
JP1        61300411121        BottomLayer 61300411121                   1960.000      3210.000      180      ""                                                                                                            
R47        ERJ8BWFR015V       BottomLayer RESC3216X70X50NL05T20         5380.000      1276.000      270      ""                                                                                                            
R27        WSL251200000ZEA9   BottomLayer FP-WSL2512-MFG                3620.000      790.000       270      "RES 0 OHM JUMPER 2512"                                                                                       
U3         LTC4020EUHF        BottomLayer FP-UHF-38-05-08-1701-IPC_A    2850.000      3390.000      0        "IC,55V BUCK-BOOST BATTERY CHARGER,38-pin QFN"                                                                
R61        1                  BottomLayer FP-CRCW0805-e3-IPC_A          5550.000      1415.000      90       "RES Thick Film, 1O, 1%, 0.125W, 100ppm/°C, 0805"                                                             
R60        "CAP OPT 0402"     BottomLayer RESC1005X40X25LL05T05         3210.000      3225.000      90       "Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                       
R59        "CAP OPT 0603"     BottomLayer RESC1608X55X25ML10T15         2590.000      3740.000      270      "Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"               
R58        47.5k              BottomLayer FP-RMCF0603-IPC_C             3173.000      3220.000      90       "47.5kO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                            
R57        47.5k              BottomLayer FP-RMCF0603-IPC_C             2655.000      3685.000      270      "47.5kO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                            
R56        47.5k              BottomLayer FP-RMCF0603-IPC_C             3064.000      3254.000      180      "47.5kO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                            
R55        "CAP OPT 0603"     BottomLayer RESC1608X55X25ML10T15         3142.000      3375.000      270      "Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"               
